timestamp,active_connections
2026-07-30T14:26:49.3284212+05:30,33 
2026-07-30T14:26:57.3846604+05:30,33 
2026-07-30T14:27:05.0466545+05:30,29 
2026-07-30T14:27:13.2018592+05:30,33 
2026-07-30T14:27:22.1075337+05:30,33 
2026-07-30T14:27:29.2345089+05:30,13 
2026-07-30T14:27:36.0934728+05:30,13 
2026-07-30T14:27:43.5813286+05:30,13 
2026-07-30T14:27:50.8063323+05:30,13 
2026-07-30T14:27:57.5194928+05:30,13 
2026-07-30T14:28:05.5610824+05:30,13 
2026-07-30T14:28:12.8883838+05:30,13 
2026-07-30T14:28:20.4060497+05:30,13 
2026-07-30T14:28:27.8874181+05:30,13 
2026-07-30T14:28:38.2884588+05:30,13 
2026-07-30T14:28:45.9821665+05:30,13 
2026-07-30T14:28:53.0275756+05:30,13 
2026-07-30T14:29:00.3610217+05:30,13 
2026-07-30T14:29:07.7766599+05:30,13 
2026-07-30T14:29:15.3998422+05:30,13 
2026-07-30T14:29:22.8766583+05:30,13 
2026-07-30T14:29:30.1293413+05:30,13 
2026-07-30T14:29:36.9462649+05:30,13 
2026-07-30T14:29:44.2225213+05:30,13 
2026-07-30T14:29:51.4139764+05:30,13 
2026-07-30T14:30:00.2569867+05:30,13 
2026-07-30T14:30:08.4072976+05:30,13 
2026-07-30T14:30:17.5732722+05:30,13 
2026-07-30T14:30:25.4103844+05:30,13 
2026-07-30T14:30:33.3822540+05:30,13 
2026-07-30T14:30:41.6061181+05:30,13 
2026-07-30T14:30:49.1174801+05:30,13 
2026-07-30T14:30:58.0994958+05:30,13 
2026-07-30T14:31:04.8533092+05:30,13 
2026-07-30T14:31:14.3858443+05:30,13 
2026-07-30T14:31:21.6774603+05:30,13 
2026-07-30T14:31:29.1055282+05:30,13 
2026-07-30T14:31:36.5135652+05:30,13 
2026-07-30T14:31:43.8178862+05:30,13 
2026-07-30T14:31:52.3907762+05:30,13 
2026-07-30T14:31:59.8364927+05:30,13 
2026-07-30T14:32:06.5803052+05:30,13 
2026-07-30T14:32:14.2740166+05:30,13 
2026-07-30T14:32:21.4568289+05:30,13 
2026-07-30T14:32:28.5541616+05:30,13 
2026-07-30T14:32:36.1900437+05:30,13 
2026-07-30T14:32:44.0785891+05:30,13 
2026-07-30T14:32:51.4161907+05:30,13 
2026-07-30T14:32:58.6822272+05:30,13 
2026-07-30T14:33:06.2686965+05:30,13 
2026-07-30T14:33:13.6563246+05:30,13 
2026-07-30T14:33:21.4033642+05:30,13 
2026-07-30T14:33:29.0745615+05:30,13 
2026-07-30T14:33:36.5964033+05:30,13 
2026-07-30T14:33:44.0679018+05:30,13 
2026-07-30T14:33:50.9413499+05:30,13 
2026-07-30T14:33:58.1734179+05:30,13 
2026-07-30T14:34:06.5284335+05:30,13 
2026-07-30T14:34:14.1570675+05:30,13 
2026-07-30T14:34:21.2058477+05:30,13 
2026-07-30T14:34:28.5829278+05:30,13 
2026-07-30T14:34:36.2111804+05:30,13 
2026-07-30T14:34:44.1272004+05:30,13 
2026-07-30T14:34:51.5071619+05:30,13 
2026-07-30T14:34:58.8349141+05:30,13 
2026-07-30T14:35:07.0200917+05:30,13 
2026-07-30T14:35:15.3020589+05:30,13 
2026-07-30T14:35:23.3628835+05:30,13 
2026-07-30T14:35:30.4263352+05:30,13 
2026-07-30T14:35:37.2876556+05:30,13 
2026-07-30T14:35:45.5494460+05:30,13 
2026-07-30T14:35:52.6610662+05:30,13 
2026-07-30T14:35:59.6410937+05:30,13 
